epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2168,1.36894,3.05527,1.24294,0.71974,0.69723,0.74516,0.46312,1.13218,1.30366,1.02825,0.00332248,0.00332248,0.00332248
2,49.3,1.15012,1.3122,1.06481,0.78288,0.7963,0.8456,0.55991,1.06831,1.08028,0.96632,0.00661188,0.00661188,0.00661188
3,72.1753,1.20579,1.26577,1.09258,0.74826,0.71122,0.76861,0.47819,1.2065,1.24654,1.09696,0.00985729,0.00985729,0.00985729
4,94.2551,1.22998,1.27582,1.11637,0.71801,0.5934,0.64846,0.40941,1.24425,1.56654,1.11647,0.009802,0.009802,0.009802
5,116.578,1.18641,1.18376,1.09785,0.81497,0.73967,0.83592,0.53238,1.13064,1.06273,1.06074,0.009736,0.009736,0.009736
6,139.021,1.1372,1.10201,1.07269,0.82756,0.7983,0.85871,0.55002,1.1859,1.02104,1.09148,0.00967,0.00967,0.00967
7,161.143,1.12668,1.05514,1.0706,0.77512,0.69525,0.76355,0.48062,1.22521,1.17828,1.08521,0.009604,0.009604,0.009604
8,183.675,1.09498,1.02399,1.05793,0.88742,0.87913,0.93122,0.63708,1.01856,0.84513,0.99716,0.009538,0.009538,0.009538
9,206.014,1.06465,0.97464,1.04728,0.87857,0.88008,0.935,0.65259,0.99303,0.81642,0.98343,0.009472,0.009472,0.009472
10,228.539,1.05039,0.9396,1.04438,0.92258,0.87596,0.94447,0.66391,0.97116,0.75319,0.96588,0.009406,0.009406,0.009406
11,250.846,1.0291,0.9091,1.02989,0.87302,0.79127,0.86495,0.60958,1.01933,0.93851,1.00072,0.00934,0.00934,0.00934
12,273.27,1.0181,0.88783,1.02902,0.88537,0.86877,0.93511,0.65121,1.00527,0.79031,0.98278,0.009274,0.009274,0.009274
13,295.28,1.00726,0.85828,1.02309,0.92688,0.91779,0.96708,0.70564,0.91909,0.68862,0.94682,0.009208,0.009208,0.009208
14,317.453,0.99133,0.83892,1.01639,0.93006,0.90491,0.95965,0.70035,0.92468,0.66999,0.93527,0.009142,0.009142,0.009142
15,338.857,0.97321,0.81613,1.00951,0.92065,0.92196,0.96327,0.70236,0.92145,0.65529,0.93457,0.009076,0.009076,0.009076
16,360.69,0.96741,0.7946,1.00306,0.94481,0.9222,0.97158,0.73023,0.89404,0.62467,0.9243,0.00901,0.00901,0.00901
17,383.067,0.94908,0.77642,0.99928,0.95402,0.92568,0.97125,0.73028,0.89246,0.63074,0.93772,0.008944,0.008944,0.008944
18,405.111,0.93918,0.76062,0.99088,0.93939,0.92477,0.97118,0.7226,0.89572,0.63954,0.93058,0.008878,0.008878,0.008878
19,427.172,0.93742,0.75023,0.99098,0.94595,0.9309,0.97604,0.7329,0.85656,0.60539,0.91929,0.008812,0.008812,0.008812
20,449.172,0.92349,0.74159,0.98492,0.93891,0.93316,0.97324,0.7275,0.85888,0.61153,0.91513,0.008746,0.008746,0.008746
21,471.059,0.92121,0.72651,0.98648,0.96437,0.93831,0.98038,0.73951,0.87854,0.58101,0.91168,0.00868,0.00868,0.00868
22,493.349,0.9096,0.71719,0.97935,0.9428,0.93316,0.97553,0.74808,0.85261,0.57572,0.91903,0.008614,0.008614,0.008614
23,514.989,0.89997,0.70042,0.97997,0.959,0.93335,0.98051,0.75392,0.83834,0.55808,0.91348,0.008548,0.008548,0.008548
24,537.367,0.89172,0.69185,0.97527,0.95986,0.94455,0.98212,0.75579,0.84289,0.55311,0.90969,0.008482,0.008482,0.008482
25,559.396,0.87832,0.6832,0.97261,0.95117,0.94194,0.97668,0.73436,0.86117,0.55577,0.91799,0.008416,0.008416,0.008416
26,581.753,0.88557,0.6776,0.97089,0.95938,0.94037,0.97743,0.75807,0.82948,0.54513,0.92156,0.00835,0.00835,0.00835
27,604.138,0.868,0.66139,0.963,0.95631,0.94167,0.98188,0.76244,0.8115,0.52974,0.89346,0.008284,0.008284,0.008284
28,626.306,0.86801,0.66625,0.96767,0.9542,0.93989,0.97999,0.76734,0.80777,0.54092,0.90068,0.008218,0.008218,0.008218
29,648.392,0.85751,0.65575,0.96379,0.96292,0.95134,0.98605,0.77173,0.8128,0.51254,0.90305,0.008152,0.008152,0.008152
30,670.147,0.85679,0.64657,0.9601,0.96273,0.94864,0.98342,0.77328,0.80193,0.50993,0.89642,0.008086,0.008086,0.008086
31,692.582,0.84546,0.634,0.95846,0.97378,0.95821,0.98672,0.78415,0.79127,0.49506,0.89105,0.00802,0.00802,0.00802
32,715.047,0.83854,0.62902,0.95584,0.96701,0.96619,0.98789,0.77542,0.79289,0.48939,0.89525,0.007954,0.007954,0.007954
33,736.595,0.83638,0.62678,0.95403,0.96082,0.95555,0.98415,0.78076,0.78725,0.49975,0.89163,0.007888,0.007888,0.007888
34,758.508,0.82569,0.61055,0.94789,0.97024,0.96762,0.98915,0.78362,0.78798,0.48465,0.89116,0.007822,0.007822,0.007822
35,780.762,0.8243,0.597,0.94739,0.96934,0.96968,0.98804,0.77672,0.78546,0.4924,0.89621,0.007756,0.007756,0.007756
36,802.508,0.8237,0.60267,0.94571,0.97311,0.96596,0.98944,0.78914,0.77175,0.47501,0.8832,0.00769,0.00769,0.00769
37,824.802,0.81714,0.59783,0.94302,0.96285,0.95644,0.98786,0.78451,0.77981,0.48233,0.88579,0.007624,0.007624,0.007624
38,847.07,0.8119,0.58872,0.94057,0.97409,0.95998,0.98548,0.78057,0.78103,0.47547,0.88425,0.007558,0.007558,0.007558
39,869.515,0.8089,0.58803,0.94137,0.97492,0.96036,0.98818,0.78335,0.76707,0.46453,0.88203,0.007492,0.007492,0.007492
40,891.785,0.79857,0.57091,0.9351,0.98074,0.96788,0.99123,0.79344,0.75678,0.45063,0.88012,0.007426,0.007426,0.007426
41,914.522,0.78983,0.56537,0.93574,0.97802,0.96635,0.9889,0.7966,0.76215,0.45703,0.88424,0.00736,0.00736,0.00736
42,936.818,0.78729,0.56372,0.93706,0.9627,0.9708,0.98867,0.78898,0.77176,0.45445,0.88355,0.007294,0.007294,0.007294
43,959.577,0.77968,0.55993,0.93129,0.97759,0.9663,0.99066,0.79812,0.75359,0.44221,0.88068,0.007228,0.007228,0.007228
44,982.317,0.77987,0.54916,0.9315,0.97045,0.96582,0.99008,0.79792,0.75049,0.44138,0.87688,0.007162,0.007162,0.007162
45,1004.03,0.78713,0.55511,0.93366,0.97068,0.9704,0.98981,0.80018,0.75237,0.43615,0.8729,0.007096,0.007096,0.007096
46,1026.37,0.76921,0.55284,0.92746,0.97643,0.97954,0.989,0.79889,0.74628,0.42721,0.88052,0.00703,0.00703,0.00703
47,1048.73,0.76488,0.53762,0.92883,0.97903,0.96483,0.98863,0.80471,0.74176,0.4357,0.87262,0.006964,0.006964,0.006964
48,1071.35,0.76233,0.53289,0.93127,0.9667,0.97738,0.99043,0.80614,0.74309,0.43465,0.88461,0.006898,0.006898,0.006898
49,1093.27,0.76464,0.54243,0.92863,0.98061,0.97171,0.99004,0.80451,0.74508,0.42966,0.87217,0.006832,0.006832,0.006832
50,1115.88,0.75965,0.5325,0.93097,0.97695,0.974,0.9905,0.80381,0.74122,0.41937,0.86845,0.006766,0.006766,0.006766
51,1138.34,0.74385,0.51651,0.92012,0.97407,0.97738,0.98981,0.80894,0.72892,0.419,0.8732,0.0067,0.0067,0.0067
52,1160.82,0.74456,0.51531,0.92133,0.97551,0.97566,0.99098,0.81333,0.72214,0.41029,0.87198,0.006634,0.006634,0.006634
